k,Precisión,Cumple assert
1,0.9333333333333333,True
2,0.9,True
3,0.9333333333333333,True
4,0.9333333333333333,True
5,0.9666666666666667,True
6,0.9,True
7,0.9666666666666667,True
8,0.9333333333333333,True
9,0.9333333333333333,True
