k,Precision,Cumple assert
1,0.9666666666666667,Si
2,0.9666666666666667,Si
3,0.9666666666666667,Si
4,0.9666666666666667,Si
5,0.9666666666666667,Si
6,0.9666666666666667,Si
7,0.9666666666666667,Si
8,0.9666666666666667,Si
9,0.9666666666666667,Si
10,0.9666666666666667,Si
